StorageLocation,Item,UofM,Qty,UofM2,Qty2,UofM3,Qty3
BAR CONS Taco Shop,CON BAR Sugar Cane,Stick,54,Sugar Cane Small,0,Sugar Cane Large,0
BAR CONS Taco Shop,CON BAR Tamarindo Stick,Each,752,,,,
BAR CONS Taco Shop,CON BAR Tonic Water,Bottle (6.7 OZ-fl),0,Can (7.5 OZ-fl),0,Bottle (12 OZ-fl),0
BAR CONS Taco Shop,CON BAR Tonic Water Bib,Keg (2.5 Gl),1.1,Gal,0,,
BAR CONS Taco Shop,PREP OM - Sangrita,Litre,0,,,,
BAR CONS Taco Shop,PREP TSH - Michelada,OZ-fl,0,QT,6,,
JUICES Taco Shop,JUICES Agua De Horchata,Bottle (32 OZ-fl),12,,,,
JUICES Taco Shop,JUICES Juice Orange,Bottle (59 OZ-fl),0.3,Gal,0,Gallon,0
JUICES Taco Shop,JUICES Juice Tomato,Can (46 OZ-fl),2,,,,
FRUIT Taco Shop,PROD/FRT Blueberry,Case - 6 OZ-wt,0,lb,0,,
FRUIT Taco Shop,PROD/FRT Lime,Lime,0,,,,
FRUIT Taco Shop,PROD/FRT Orange,Orange,0,,,,
FRUIT Taco Shop,FROZEN Pulp Mamey,Pack (14 OZ-wt),0,,,,
SODAS Taco Shop,SODAS Coke Mexican Btl,Bottle (12 OZ-fl),192,,,,
SODAS Taco Shop,SODAS Diet Coke Btl,Bottle (8 OZ-fl),109,,,,
SODAS Taco Shop,SODAS Diet Coke Can,Can (12 OZ-fl),0,Can (7 OZ-fl),0,,
SODAS Taco Shop,SODAS Ginger Ale,Can (12 OZ-fl),0,Can (7.5 OZ-fl),0,Bottle (6.7 OZ-fl),29
SODAS Taco Shop,SODAS Jarrito Limon,Bottle (13.5 OZ-fl),37,,,,
SODAS Taco Shop,SODAS Jarritos Mandarina,Bottle (13.5 OZ-fl),31,,,,
SODAS Taco Shop,SODAS Jarritos Tamarindo,Bottle (13.5 OZ-fl),42,,,,
SODAS Taco Shop,SODAS Jarritos Toronja,Bottle (13.5 OZ-fl),35,,,,
SODAS Taco Shop,SODAS Red Bull,Bottle (8.4 OZ-fl),14,Bottle (12 OZ-fl),0,,
SODAS Taco Shop,SODAS Red Bull Sugar Free,Bottle (8.4 OZ-fl),8,Bottle (12 OZ-fl),0,,
SODAS Taco Shop,SODAS Sangria Senorial,Bottle (11.16 OZ-fl),16,,,,
SODAS Taco Shop,SODAS Sidral Mundet,Bottle (12 OZ-fl),22,,,,
SODAS Taco Shop,SODAS Sprite Mexican Btl,Bottle (12 OZ-fl),65,,,,
SODAS Taco Shop,SUPPLIES CO2 BIB CON BAR,KEG,0,,,,
WATER BTL Taco Shop,WATER BTL Panna Water Lg,Bottle (750 ML),48,Bottle (1 Litre),0,,
